Developed Economies;Developing Economies (excl_China);Developing Economies (excl_LDCs);LLDCs (Landlocked developing countries);Low-income developing economies;Middle-income developing economies;High-income developing economies;BRICS;European Union (2020 …);G20;G77
Bermuda;Afghanistan;Algeria;Afghanistan;Afghanistan;Algeria;Anguilla;Brazil;Austria;Argentina;Afghanistan
Canada;Algeria;American Samoa;Armenia;Benin;Angola;Antigua and Barbuda;China;Belgium;Australia;Algeria
Greenland;American Samoa;Anguilla;Azerbaijan;Burkina Faso;Armenia;Argentina;India;Bulgaria;Brazil;Angola
Saint Pierre and Miquelon;Angola;Antigua and Barbuda;Bhutan;Burundi;Azerbaijan;Aruba;Russian Federation;Croatia;Canada;Antigua and Barbuda
United States;Anguilla;Argentina;Bolivia (Plurinational State of);Central African Republic;Bangladesh;Bahamas;South Africa;Cyprus;China;Argentina
Cyprus;Antigua and Barbuda;Armenia;Botswana;Chad;Belize;Bahrain;Union of Soviet Socialist Republics;Czechia;France;Azerbaijan
Israel;Argentina;Aruba;Burkina Faso;Dem. People's Rep. of Korea;Bhutan;Barbados;;Czechoslovakia;Germany;Bahamas
Japan;Armenia;Azerbaijan;Burundi;Dem. Rep. of the Congo;Bolivia (Plurinational State of);Botswana;;Democratic Republic of Germany;India;Bahrain
Republic of Korea;Aruba;Bahamas;Central African Republic;Eritrea;Cabo Verde;Brazil;;Denmark;Indonesia;Bangladesh
Australia;Azerbaijan;Bahrain;Chad;Ethiopia;Cambodia;British Virgin Islands;;Estonia;Indonesia (...2002);Barbados
Christmas Island;Bahamas;Barbados;Eswatini;Ethiopia (...1991);Cameroon;Brunei Darussalam;;Federal Republic of Germany;Italy;Belize
Cocos (Keeling) Islands;Bahrain;Belize;Ethiopia;Gambia;Comoros;Cayman Islands;;Finland;Japan;Benin
Heard Island and McDonald Islands;Bangladesh;Bolivia (Plurinational State of);Ethiopia (...1991);Guinea;Congo;Chile;;France;Mexico;Bhutan
New Zealand;Barbados;Bonaire, Sint Eustatius and Saba;Kazakhstan;Guinea-Bissau;Côte d'Ivoire;China;;French Guiana;Republic of Korea;Bolivia (Plurinational State of)
Norfolk Island;Belize;Botswana;Kyrgyzstan;Kyrgyzstan;Djibouti;China, Hong Kong SAR;;Germany;Russian Federation;Botswana
United States Minor Outlying Islands;Benin;Bouvet Island;Lao People's Dem. Rep.;Lesotho;Egypt;China, Macao SAR;;Greece;Saudi Arabia;Brazil
Åland Islands;Bhutan;Brazil;Lesotho;Liberia;El Salvador;China, Taiwan Province of;;Guadeloupe;South Africa;Brunei Darussalam
Albania;Bolivia (Plurinational State of);British Indian Ocean Territory;Malawi;Madagascar;Eswatini;Colombia;;Hungary;Türkiye;Burkina Faso
Andorra;Bonaire, Sint Eustatius and Saba;British Virgin Islands;Mali;Malawi;Fiji;Cook Islands;;Ireland;Union of Soviet Socialist Republics;Burundi
Austria;Botswana;Brunei Darussalam;Mongolia;Mali;Georgia;Costa Rica;;Italy;United Kingdom;Cabo Verde
Belarus;Bouvet Island;Cabo Verde;Nepal;Mozambique;Ghana;Cuba;;Latvia;United States;Cambodia
Belgium;Brazil;Cameroon;Niger;Myanmar;Guatemala;Curaçao;;Lithuania;;Cameroon
Bosnia and Herzegovina;British Indian Ocean Territory;Cayman Islands;North Macedonia;Nepal;Haiti;Dominica;;Luxembourg;;Central African Republic
Bulgaria;British Virgin Islands;Chile;Paraguay;Niger;Honduras;Dominican Republic;;Malta;;Chad
Croatia;Brunei Darussalam;China;Republic of Moldova;Pakistan;India;Ecuador;;Martinique;;Chile
Czechia;Burkina Faso;China, Hong Kong SAR;Rwanda;Rwanda;Indonesia;Equatorial Guinea;;Mayotte;;China
Czechoslovakia;Burundi;China, Macao SAR;South Sudan;Sierra Leone;Indonesia (...2002);French Polynesia;;Netherlands (Kingdom of the);;Colombia
Democratic Republic of Germany;Cabo Verde;China, Taiwan Province of;Tajikistan;Somalia;Iraq;Gabon;;Poland;;Comoros
Denmark;Cambodia;Colombia;Turkmenistan;Sudan;Jamaica;Grenada;;Portugal;;Congo
Estonia;Cameroon;Congo;Uganda;Sudan (...2011);Jordan;Guyana;;Réunion;;Costa Rica
Faroe Islands;Cayman Islands;Cook Islands;Uzbekistan;Syrian Arab Republic;Kenya;Iran (Islamic Republic of);;Romania;;Côte d'Ivoire
Federal Republic of Germany;Central African Republic;Costa Rica;Zambia;Tajikistan;Kiribati;Kazakhstan;;Slovakia;;Cuba
Finland;Chad;Côte d'Ivoire;Zimbabwe;Togo;Lao People's Dem. Rep.;Kuwait;;Slovenia;;Dem. People's Rep. of Korea
France;Chile;Cuba;;Uganda;Marshall Islands;Lebanon;;Spain;;Dem. Rep. of the Congo
Germany;China, Hong Kong SAR;Curaçao;;United Republic of Tanzania;Mauritania;Libya;;Sweden;;Djibouti
Gibraltar;China, Macao SAR;Dem. People's Rep. of Korea;;Yemen;Micronesia (Federated States of);Malaysia;;;;Dominica
Greece;China, Taiwan Province of;Dominica;;Yemen, Arab Republic;Mongolia;Maldives;;;;Dominican Republic
Guernsey;Colombia;Dominican Republic;;Yemen, Democratic;Morocco;Mauritius;;;;Ecuador
Holy See;Comoros;Ecuador;;Zambia;Namibia;Mexico;;;;Egypt
Hungary;Congo;Egypt;;;Nicaragua;Montserrat;;;;El Salvador
Iceland;Cook Islands;El Salvador;;;Nigeria;Nauru;;;;Equatorial Guinea
Ireland;Costa Rica;Equatorial Guinea;;;Pacific Islands, Trust Territory;Netherlands Antilles;;;;Eritrea
Isle of Man;Côte d'Ivoire;Eswatini;;;Papua New Guinea;New Caledonia;;;;Eswatini
Italy;Cuba;Falkland Islands (Malvinas);;;Paraguay;Oman;;;;Ethiopia
Jersey;Curaçao;Fiji;;;Philippines;Palau;;;;Ethiopia (...1991)
Kosovo;Dem. People's Rep. of Korea;French Guiana;;;Samoa;Panama;;;;Fiji
Latvia;Dem. Rep. of the Congo;French Polynesia;;;Sao Tome and Principe;Panama, Canal Zone;;;;Gabon
Liechtenstein;Djibouti;French Southern Territories;;;Senegal;Panama, excluding Canal Zone;;;;Gambia
Lithuania;Dominica;Gabon;;;Solomon Islands;Peru;;;;Ghana
Luxembourg;Dominican Republic;Georgia;;;South Africa;Qatar;;;;Grenada
Malta;Ecuador;Ghana;;;South Sudan;Saint Kitts and Nevis;;;;Guatemala
Monaco;Egypt;Grenada;;;Sri Lanka;Saint Lucia;;;;Guinea
Montenegro;El Salvador;Guadeloupe;;;State of Palestine;Saint Vincent and the Grenadines;;;;Guinea-Bissau
Netherlands (Kingdom of the);Equatorial Guinea;Guam;;;Timor-Leste;Saudi Arabia;;;;Guyana
North Macedonia;Eritrea;Guatemala;;;Tonga;Seychelles;;;;Haiti
Norway;Eswatini;Guyana;;;Tunisia;Singapore;;;;Honduras
Poland;Ethiopia;Honduras;;;Tuvalu;Sint Maarten (Dutch part);;;;India
Portugal;Ethiopia (...1991);India;;;Uzbekistan;Suriname;;;;Indonesia
Republic of Moldova;Falkland Islands (Malvinas);Indonesia;;;Vanuatu;Thailand;;;;Indonesia (...2002)
Romania;Fiji;Indonesia (...2002);;;Venezuela (Bolivarian Rep. of);Trinidad and Tobago;;;;Iran (Islamic Republic of)
Russian Federation;French Guiana;Iran (Islamic Republic of);;;Viet Nam;Türkiye;;;;Iraq
San Marino;French Polynesia;Iraq;;;Zimbabwe;Turkmenistan;;;;Jamaica
Serbia;French Southern Territories;Jamaica;;;;Turks and Caicos Islands;;;;Jordan
Serbia and Montenegro;Gabon;Jordan;;;;United Arab Emirates;;;;Kenya
Slovakia;Gambia;Kazakhstan;;;;Uruguay;;;;Kiribati
Slovenia;Georgia;Kenya;;;;;;;;Kuwait
Spain;Ghana;Kuwait;;;;;;;;Lao People's Dem. Rep.
Svalbard and Jan Mayen Islands;Grenada;Kyrgyzstan;;;;;;;;Lebanon
Sweden;Guadeloupe;Lebanon;;;;;;;;Lesotho
Switzerland;Guam;Libya;;;;;;;;Liberia
Ukraine;Guatemala;Malaysia;;;;;;;;Libya
Union of Soviet Socialist Republics;Guinea;Maldives;;;;;;;;Madagascar
United Kingdom;Guinea-Bissau;Marshall Islands;;;;;;;;Malawi
Yugoslavia, Soc. Fed. Rep. of;Guyana;Martinique;;;;;;;;Malaysia
;Haiti;Mauritius;;;;;;;;Maldives
;Honduras;Mayotte;;;;;;;;Mali
;India;Mexico;;;;;;;;Marshall Islands
;Indonesia;Micronesia (Federated States of);;;;;;;;Mauritania
;Indonesia (...2002);Mongolia;;;;;;;;Mauritius
;Iran (Islamic Republic of);Montserrat;;;;;;;;Micronesia (Federated States of)
;Iraq;Morocco;;;;;;;;Mongolia
;Jamaica;Namibia;;;;;;;;Morocco
;Jordan;Nauru;;;;;;;;Mozambique
;Kazakhstan;Netherlands Antilles;;;;;;;;Myanmar
;Kenya;New Caledonia;;;;;;;;Namibia
;Kiribati;Nicaragua;;;;;;;;Nauru
;Kuwait;Nigeria;;;;;;;;Nepal
;Kyrgyzstan;Niue;;;;;;;;Nicaragua
;Lao People's Dem. Rep.;Northern Mariana Islands;;;;;;;;Niger
;Lebanon;Oman;;;;;;;;Nigeria
;Lesotho;Pacific Islands, Trust Territory;;;;;;;;Oman
;Liberia;Pakistan;;;;;;;;Pacific Islands, Trust Territory
;Libya;Palau;;;;;;;;Pakistan
;Madagascar;Panama;;;;;;;;Panama
;Malawi;Panama, Canal Zone;;;;;;;;Panama, Canal Zone
;Malaysia;Panama, excluding Canal Zone;;;;;;;;Panama, excluding Canal Zone
;Maldives;Papua New Guinea;;;;;;;;Papua New Guinea
;Mali;Paraguay;;;;;;;;Paraguay
;Marshall Islands;Peru;;;;;;;;Peru
;Martinique;Philippines;;;;;;;;Philippines
;Mauritania;Pitcairn;;;;;;;;Qatar
;Mauritius;Puerto Rico;;;;;;;;Rwanda
;Mayotte;Qatar;;;;;;;;Saint Kitts and Nevis
;Mexico;Réunion;;;;;;;;Saint Lucia
;Micronesia (Federated States of);Saint Barthélemy;;;;;;;;Saint Vincent and the Grenadines
;Mongolia;Saint Helena;;;;;;;;Samoa
;Montserrat;Saint Kitts and Nevis;;;;;;;;Sao Tome and Principe
;Morocco;Saint Lucia;;;;;;;;Saudi Arabia
;Mozambique;Saint Martin (French part);;;;;;;;Senegal
;Myanmar;Saint Vincent and the Grenadines;;;;;;;;Seychelles
;Namibia;Samoa;;;;;;;;Sierra Leone
;Nauru;Saudi Arabia;;;;;;;;Singapore
;Nepal;Seychelles;;;;;;;;Solomon Islands
;Netherlands Antilles;Singapore;;;;;;;;Somalia
;New Caledonia;Sint Maarten (Dutch part);;;;;;;;South Africa
;Nicaragua;South Africa;;;;;;;;South Sudan
;Niger;South Georgia and the South Sandwich Islands;;;;;;;;Sri Lanka
;Nigeria;Sri Lanka;;;;;;;;State of Palestine
;Niue;State of Palestine;;;;;;;;Sudan
;Northern Mariana Islands;Suriname;;;;;;;;Sudan (...2011)
;Oman;Syrian Arab Republic;;;;;;;;Suriname
;Pacific Islands, Trust Territory;Tajikistan;;;;;;;;Syrian Arab Republic
;Pakistan;Thailand;;;;;;;;Tajikistan
;Palau;Tokelau;;;;;;;;Thailand
;Panama;Tonga;;;;;;;;Timor-Leste
;Panama, Canal Zone;Trinidad and Tobago;;;;;;;;Togo
;Panama, excluding Canal Zone;Tunisia;;;;;;;;Tonga
;Papua New Guinea;Türkiye;;;;;;;;Trinidad and Tobago
;Paraguay;Turkmenistan;;;;;;;;Tunisia
;Peru;Turks and Caicos Islands;;;;;;;;Turkmenistan
;Philippines;United Arab Emirates;;;;;;;;Uganda
;Pitcairn;United States Virgin Islands;;;;;;;;United Arab Emirates
;Puerto Rico;Uruguay;;;;;;;;United Republic of Tanzania
;Qatar;Uzbekistan;;;;;;;;Uruguay
;Réunion;Vanuatu;;;;;;;;Vanuatu
;Rwanda;Venezuela (Bolivarian Rep. of);;;;;;;;Venezuela (Bolivarian Rep. of)
;Saint Barthélemy;Viet Nam;;;;;;;;Viet Nam
;Saint Helena;Wallis and Futuna Islands;;;;;;;;Yemen
;Saint Kitts and Nevis;Western Sahara;;;;;;;;Yemen, Arab Republic
;Saint Lucia;Zimbabwe;;;;;;;;Yemen, Democratic
;Saint Martin (French part);;;;;;;;;Zambia
;Saint Vincent and the Grenadines;;;;;;;;;Zimbabwe
;Samoa;;;;;;;;;
;Sao Tome and Principe;;;;;;;;;
;Saudi Arabia;;;;;;;;;
;Senegal;;;;;;;;;
;Seychelles;;;;;;;;;
;Sierra Leone;;;;;;;;;
;Singapore;;;;;;;;;
;Sint Maarten (Dutch part);;;;;;;;;
;Solomon Islands;;;;;;;;;
;Somalia;;;;;;;;;
;South Africa;;;;;;;;;
;South Georgia and the South Sandwich Islands;;;;;;;;;
;South Sudan;;;;;;;;;
;Sri Lanka;;;;;;;;;
;State of Palestine;;;;;;;;;
;Sudan;;;;;;;;;
;Sudan (...2011);;;;;;;;;
;Suriname;;;;;;;;;
;Syrian Arab Republic;;;;;;;;;
;Tajikistan;;;;;;;;;
;Thailand;;;;;;;;;
;Timor-Leste;;;;;;;;;
;Togo;;;;;;;;;
;Tokelau;;;;;;;;;
;Tonga;;;;;;;;;
;Trinidad and Tobago;;;;;;;;;
;Tunisia;;;;;;;;;
;Türkiye;;;;;;;;;
;Turkmenistan;;;;;;;;;
;Turks and Caicos Islands;;;;;;;;;
;Tuvalu;;;;;;;;;
;Uganda;;;;;;;;;
;United Arab Emirates;;;;;;;;;
;United Republic of Tanzania;;;;;;;;;
;United States Virgin Islands;;;;;;;;;
;Uruguay;;;;;;;;;
;Uzbekistan;;;;;;;;;
;Vanuatu;;;;;;;;;
;Venezuela (Bolivarian Rep. of);;;;;;;;;
