iso3c;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFG;0.311;0.311;0.311;0.312;0.312;0.312;0.312;0.312;0.311;0.311;0.311;0.311;0.311;0.311;0.312;0.312;0.312;0.313;0.313;0.314;0.315;0.316;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317
AGO;0.487;0.488;0.49;0.492;0.494;0.495;0.497;0.497;0.498;0.499;0.498;0.497;0.497;0.497;0.496;0.496;0.493;0.491;0.489;0.489;0.489;0.49;0.49;0.491;0.492;0.492;0.493;0.494;0.494;0.494;0.493;0.493
AIA;0.377;0.377;0.377;0.376;0.375;0.375;0.374;0.374;0.374;0.374;0.375;0.375;0.375;0.376;0.377;0.378;0.379;0.38;0.382;0.383;0.384;0.385;0.385;0.386;0.386;0.386;0.386;0.387;0.387;0.387;0.387;0.387
ALB;0.364;0.364;0.365;0.365;0.365;0.366;0.366;0.367;0.369;0.37;0.372;0.373;0.374;0.375;0.376;0.376;0.377;0.377;0.378;0.378;0.379;0.379;0.38;0.381;0.382;0.382;0.381;0.379;0.377;0.375;0.375;0.375
AND;0.311;0.311;0.311;0.311;0.311;0.312;0.312;0.312;0.312;0.312;0.312;0.312;0.312;0.312;0.312;0.312;0.312;0.312;0.313;0.313;0.313;0.313;0.313;0.313;0.313;0.313;0.313;0.313;0.313;0.313;0.313;0.313
ARE;0.338;0.337;0.335;0.333;0.332;0.331;0.329;0.329;0.328;0.327;0.326;0.325;0.324;0.323;0.321;0.32;0.319;0.318;0.317;0.315;0.313;0.31;0.308;0.305;0.304;0.302;0.3;0.298;0.296;0.296;0.296;0.296
ARG;0.427;0.428;0.429;0.432;0.437;0.443;0.449;0.454;0.459;0.462;0.466;0.468;0.467;0.461;0.452;0.442;0.433;0.423;0.415;0.409;0.402;0.396;0.389;0.385;0.381;0.379;0.378;0.377;0.377;0.378;0.378;0.378
ARM;0.333;0.343;0.353;0.363;0.373;0.383;0.393;0.397;0.4;0.402;0.399;0.396;0.391;0.389;0.385;0.379;0.373;0.369;0.363;0.36;0.359;0.357;0.361;0.365;0.368;0.37;0.372;0.372;0.371;0.367;0.363;0.363
ATG;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485;0.485
AUS;0.292;0.291;0.291;0.29;0.289;0.301;0.304;0.307;0.31;0.313;0.316;0.317;0.317;0.317;0.317;0.321;0.324;0.327;0.33;0.33;0.33;0.327;0.325;0.326;0.327;0.327;0.327;0.327;0.327;0.327;0.326;0.326
