iso3c,year,E_total,E_efpv,region,subregion,income_group,SEI,SIDS,lf_part_pct,GreenPotShare,GreenPotSharew,country,gdp_const,gdppc_const,gov_exp_pctgdp,lf_participation,exports_const,imports_const,access_electricity,va_agriculture,va_industry,va_services,adj_savings,gdppc_growth,educ_secondary_complete,pop_0_14_pct,pop_65plus_pct,age_dependency_ratio,urban_pop_pct,fuel_exports_pct_exports,nat_resource_rents_pctgdp,gross_capital_const,gross_capital_pctgdp,hc,rnna,democracy,PR,CL,vulnerability,dge,mimic,gini,va_complete,va_total,hhi_va,open_pct,ays,self_emp_pct,gross_savings_pct,DeltaY,deltalnK,DeltaLnL,DeltaLnGDPpc,LnGDPpc
CZE,1998,4865.737,2432,4,4,1,1,1,61.061,0.499821506998837,0.30519601038855987,Czechia,121996963422.938,11850.8396211152,35.7593582690453,61.061,37888631495.5028,37787763849.7891,100,3950388617.30779,35817059403.425,68804285217.7448,8.85400655353398,-0.298733222832993,NA,17.293110032983,13.600185048327,44.7037588159405,74.251,2.97129270150384,0.515210661088895,32719555139.9969,30.7431840522591,3.4931888580322266,1686516.75,6.5,7,6,0.265498569769566,17.18537139892578,18.89126205444336,0.245,TRUE,108571733238.4776,0.5117567399962563,62.03137620969929,10.610769,13.6183610770702,30.4321485150889,NA,NA,NA,NA,9.380153998155793
CZE,1999,4764.099,2397.35,4,4,1,1,1,61.05,0.5032116251152631,0.3072106971328681,Czechia,123678521510.239,12026.4688074555,34.5943037346594,61.05,39848068865.2879,39746903887.3927,100,3989729234.20905,35642284709.5889,70483932801.4635,7.10905638196731,1.48199783268869,NA,16.875780017086502,13.6945930586112,44.0307387375375,74.12,2.84989501856792,0.436825556358793,32010769083.7949,29.7451345778523,3.533209800720215,1701862.5,6.5,7,6,0.264651498721239,17.12501335144043,19.28367805480957,0.246,TRUE,110115946745.26144,0.5157943156874055,64.3563423792151,10.799741,14.374417183223,29.2695857361811,0.013689476166128145,-0.021900535622759065,-1.801639496816776e-4,0.014711235509080822,9.394865233664873
GHA,2000,7421.9,2339.2200000000003,1,15,3,1,1,74.615,0.31517805413708083,0.23517010509438285,Ghana,20062001962.2277,1021.63839077699,NA,74.615,NA,NA,43.7,NA,NA,NA,-4.48668370565029,1.12706117579829,NA,42.2680716340463,3.14081207665882,83.1799875094507,43.929,4.89527474500612,13.7597235776938,NA,23.9986004971918,2.118727445602417,175084.734375,5.5,6,5,0.524603985853753,40.70710372924805,41.900001525878906,0.41,FALSE,NA,NA,NA,6.874287,80.507730445621,5.55468557223092,NA,NA,NA,NA,6.929162883081352
MNG,2000,796.112,180.61599999999999,3,3,4,1,1,59.874,0.2268726008400828,0.1358377010269912,Mongolia,3817248910.66296,1598.31282040605,22.3891425330131,59.874,NA,NA,67.3,840235700.407762,1178635654.93489,NA,-3.84352734548777,-0.187391049653314,53.3699989318848,35.1783289385471,3.42665024425888,62.8796894489998,57.133,0.421898129953086,5.22235025250685,NA,29.0107404848956,2.5938212871551514,94162.578125,5.5,6,5,0.440913657767745,16.09419822692871,18.399999618530273,0.338,FALSE,NA,NA,NA,9.04105,58.277692500907,9.58523927315071,NA,NA,NA,NA,7.3767038646188245
USA,2003,137735.817,92906.854,2,9,1,1,1,65.22,0.6745293709623837,0.43992805574166666,United States of America,14477988212000,49905.5233074236,20.6606182543458,65.22,1243393044000,1865875707000,100,NA,NA,NA,5.55921392260875,1.91588247774337,NA,20.7263897088877,12.103110972241,48.87487974038,79.583,2.10931027144065,1.0459220644239,2989613515000,21.7456280086763,3.6079261302948,53148096,7,7,7,0.307450041195289,8.591249465942383,8.903072357177734,0.378,FALSE,NA,NA,21.475834249007743,12.859359,7.56652959716216,17.1896355328221,NA,NA,NA,NA,10.817886963137717
TUR,2004,19631.862,9043.223999999998,3,16,4,1,1,46.306,0.4606401573116191,0.21330403124471833,Turkey,482120738379.834,7028.75556387992,NA,46.306,113313361282.204,135650928347.788,99.7,41456961702.9822,118914839972.287,268861709021.046,7.55772219060038,8.57798751503505,21.0300006866455,28.2947558335615,6.4644909232724,53.2784264879328,67.225,2.26412471797319,0.258039998415792,NA,24.9817147828372,2.0816311836242676,3441066,5,5,5,0.38441932839281,30.91490936279297,32.481266021728516,0.415,TRUE,429233510696.3152,0.47842685850896705,51.63940685618215,5.85786,45.5295595145335,23.4053830882968,NA,NA,NA,NA,8.857764951194918
USA,2004,139251.974,94212.05599999998,2,9,1,1,1,65.001,0.6765581362602443,0.43976955415052144,United States of America,15035068144000,51348.3473376223,20.4485309067645,65.001,1363304300000,2070776243000,100,NA,NA,NA,5.67825311276378,2.89111091233463,85.9800033569336,20.5479906521636,12.1109989202413,48.4979199966309,79.757,2.5706533002655,1.25369196394813,3223056525000,22.6521453858971,3.6177608966827393,54536764,7,7,7,0.307675651793098,8.53941822052002,8.762160301208496,0.377,FALSE,NA,NA,22.840472089050213,12.82461,7.57415361097437,17.4615844748664,0.03775590711829224,0.07518602083699832,-0.003363515968493047,0.028501067428857496,10.846388030566574
IRN,2005,19847.12,11643.828,3,13,4,1,1,46.119,0.5866759509692087,0.27056908182748934,Iran Islamic Republic of,334028060129.516,4650.3584147747,19.4202431883925,46.119,75615209482.5265,155356741570.815,98.4,32223932756.9125,135245945952.721,172768649261.565,NA,0.931246307812401,NA,26.2479632897575,4.68743550171029,44.7919748324646,67.558,83.0809475304939,34.4823160181386,173154983949.104,38.7176635766975,1.9027243852615356,4467331.5,2,2,2,0.362483747469119,17.575580596923828,18.047208786010746,0.411,TRUE,340238527971.1985,0.4248263263141315,69.14746951611923,9.559744,47.7111435725842,46.720393407767,NA,NA,NA,NA,8.444699574057184
MEX,2005,42079.136,23221.862,2,5,4,1,1,60.12,0.5518616636995589,0.3317792322161748,Mexico,1004311720993.85,9491.51730225718,NA,60.12,246114317164.006,293714509403.69,98.9,30097046091.3479,331486467397.157,575265484750.039,6.02375738825904,0.745413251973147,25.8799991607666,32.0692922954767,5.67757783690514,60.6344937397539,76.308,14.8856175708843,5.58648727639514,215680174767.163,21.5221459698375,2.5160701274871826,7363184,6,6,6,0.378011406651192,29.07463264465332,30.654258728027344,0.468,TRUE,936848998238.5438,0.503277328447949,53.75112281209767,7.48515,35.5891316381701,18.6970264218082,NA,NA,NA,NA,9.1581537631502
TUR,2005,20066.636,9680.271999999997,3,16,4,1,1,46.431,0.4824063186275965,0.22398607780197932,Turkey,525474505335.922,7579.37203227654,NA,46.431,122754110646.63,152121821775.579,99.7,44744714984.9047,131467326861.256,289959812065.398,9.41896872872765,7.83376891389118,22.1900005340576,27.8896620375756,6.62991980916537,52.7174114645273,67.84,3.59438376037657,0.246555610028496,NA,26.8036143020067,2.1034748554229736,3741424.75,5,5,5,0.381060470883364,30.406972885131836,32.08540344238281,0.413,TRUE,466171853911.5587,0.4756315516772076,52.31004161590829,5.97352,43.2623601998446,24.4137923842471,0.08610709683397388,NA,0.002695797269725464,0.07542067866353186,8.93318562985845
