country,iso3c,year,gdp_const,gdppc_const,gov_exp_pctgdp,lf_participation,exports_const,imports_const,access_electricity,va_agriculture,va_industry,va_services,adj_savings,gdppc_growth,educ_secondary_complete,pop_0_14_pct,pop_65plus_pct,age_dependency_ratio,urban_pop_pct,fuel_exports_pct_exports,nat_resource_rents_pctgdp,gross_capital_const,gross_capital_pctgdp,democracy,PR,CL,vulnerability,dge,mimic,gini,nb_na_critiques,open,open_pct,iso2c,region,subregion,developed_economies,developing_economies_excl_china,developing_economies_excl_LDCs,LLDCs,LIDE,MIDE,HIDE,BRICS,EU,G20,G77,income_group,SEI,SIDS,hc,rnna
Afghanistan,AFG,1990,NA,NA,NA,47.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3082195511101,2.24271646385503,99.6645090710183,21.177,NA,NA,NA,NA,7,7,7,NA,NA,NA,0.311,8,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1991,NA,NA,NA,47.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2173607267364,2.24205991414737,100.333805677725,21.266,NA,NA,NA,NA,7,7,7,NA,NA,NA,0.311,8,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1992,NA,NA,NA,47.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1307918942096,2.24219138625437,101.130964399038,21.355,NA,NA,NA,NA,6,6,6,NA,NA,NA,0.311,8,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1993,NA,NA,NA,47.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0882336112249,2.24708649542413,101.99673440322,21.444,NA,NA,NA,NA,7,7,7,NA,NA,NA,0.312,8,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1994,NA,NA,NA,46.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0202336333908,2.25424055420798,102.99668425802,21.534,NA,NA,NA,NA,7,7,7,NA,NA,NA,0.312,8,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1995,NA,NA,NA,46.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8187400931948,2.25945281143721,104.092606744234,21.624,NA,NA,NA,NA,7,7,7,0.613711296391916,NA,NA,0.312,7,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1996,NA,NA,NA,46.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0715585174205,2.26310859725909,105.223953365424,21.714,NA,NA,NA,NA,7,7,7,0.613838389156729,NA,NA,0.312,7,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1997,NA,NA,NA,46.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3366848983677,2.26487604399751,106.412388709347,21.805,NA,NA,NA,NA,7,7,7,0.613953660697247,NA,NA,0.312,7,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1998,NA,NA,NA,46.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5548085104874,2.26406368414857,107.593615693214,21.895,NA,NA,NA,NA,7,7,7,0.612246002547342,NA,NA,0.311,7,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
Afghanistan,AFG,1999,NA,NA,NA,46.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.727291728596,2.2628010676604,108.686030843852,21.986,NA,NA,NA,NA,7,7,7,0.610850047902757,NA,NA,0.311,7,NA,NA,AF,Asia,Southern Asia,0,1,0,1,1,0,0,0,0,0,1,Low income,0,0,NA,NA
